RISK_MODEL = 
INTERVENTION_DAY = -1
seed: 6187
Type of run: UNMITIGATED
Initializing humans ...
Allocating houses ... 
expanding the search for kids to middle generation for census family households
Housing allocated with failed attempts: 0 
Schedule prepared (Took 16.608s)
Computing their preferences

######## SIMULATOR KNOBS #########
HOUSEHOLD_ASSORTATIVITY_STRENGTH: 0.5
WORKPLACE_ASSORTATIVITY_STRENGTH: 5
P_INVITATION_ACCEPTANCE: 0.5
BEGIN_PREFERENTIAL_ATTACHMENT_FACTOR: 0.5
END_PREFERENTIAL_ATTACHMENT_FACTOR: 0.5
P_HOUSE_OVER_MISC_FOR_SOCIALS: 0.5
CONTAGION_KNOB: 25
ENVIRONMENTAL_INFECTION_KNOB: 0.0017
TIME_SPENT_SCALE_FACTOR_FOR_SHORT_ACTIVITIES: 1.5
TIME_SPENT_SCALE_FACTOR_FOR_WORK: 1.0
TIME_SPENT_SCALE_FACTOR_SLEEP_AWAKE: 0.01
GLOBAL_MOBILITY_SCALING_FACTOR: 0.85

######## DEMOGRAPHICS / SYNTHETIC POPULATION #########
NB: (i) census numbers are in brackets. (ii)  (**#@#**)  marks a 25 % realtive deviation from census

Age (census) - mean: 43.567 (43.1), median:  44 (44.5), std: 25.466
Gender: female: 45.900 % | male: 44.267 % | other: 9.833 % | 

*** House allocation *** 
 (**#@#**) Total ( %) number of residents in senior residencies (census): 16 (0.53 %) (1.23)
Total houses: 1384
Average house size -  2.156 ( 2.300)
Household size - simulation% (census):  1.0: 30.13 % ( 28.60) |  2.0: 42.77 % ( 38.50) |  3.0: 12.57 % ( 14.80) |  4.0: 10.40 % ( 12.20) |  (**#@#**)  5.0: 4.12 % ( 6.00) | 
Solo dwellers : Average age absolute:  59.42 (Average with mid point of age groups - simulated: 59.16 census: 59.64) | 
Household type:  (**#@#**) multi-generation: 0.00 % (2.77) | Only adults: 79.05 % | 
Allocation types: couple_with_0_kids: 31.720 %  ( 30.77)| couple_with_1_kids: 9.754 %  ( 10.26)| couple_with_2_kids: 9.610 %  ( 10.17)| couple_with_3_kids: 3.685 %  ( 3.87)|  (**#@#**) other_2: 0.145 %  ( 0.00)|  (**#@#**) other_3: 0.072 %  ( 0.00)|  (**#@#**) other_4: 0.145 %  ( 0.00)|  (**#@#**) other_5: 0.217 %  ( 0.00)| single_parent_with_1_kids: 10.910 %  ( 11.34)| single_parent_with_2_kids: 2.746 %  ( 2.89)| single_parent_with_3_kids: 0.650 %  ( 0.72)| single_parent_with_4_kids: 0.217 %  ( 0.19)| solo: 30.130 %  ( 28.60)| 

 *** Locations *** 
Counts: HOUSEHOLD: 1384 | SENIOR_RESIDENCE: 2 | WORKPLACE: 124 | STORE: 2 | MISC: 6 | HOSPITAL: 1 | PARK: 1 | SCHOOL: 23 | 

 *** Workforce *** 
WORKPLACE - Total workforce: 1549 | Average number of workers:  12.49 | Average age of workers:  44.80
	Number of WORKPLACE(1, 4) - 92. Total number of workers - 180
	Number of WORKPLACE(5, 99) - 32. Total number of workers - 1369
STORE - Total workforce: 2 | Average number of workers:  1.00 | Average age of workers:  58.50
MISC - Total workforce: 6 | Average number of workers:  1.00 | Average age of workers:  43.00
HOSPITALS - Total workforce: 32 | Number of doctors: 4 | Number of nurses: 26 | Number of nurses at SENIOR_RESIDENCES: 2
SCHOOL - Number of teachers: 95 | Number of students: 620| Average number of teachers:  4.13| Average number of students:  26.96
	Number of SCHOOL(2-4) - 2. Number of students: 27. Number of teachers: 6
	Number of SCHOOL(4-5) - 4. Number of students: 21. Number of teachers: 7
	Number of SCHOOL(5-12) - 7. Number of students: 254. Number of teachers: 52
	Number of SCHOOL(12-17) - 4. Number of students: 151. Number of teachers: 17
	Number of SCHOOL(17-29) - 6. Number of students: 167. Number of teachers: 13

 *** Disease related initialization stats *** 
Percentage of population that is asymptomatic  21.200

 *** ****** *** ****** *** COVID infection seeded *** *** ****** *** ******

Total number of infected humans 6
	H:human:696 age:22, SEIR:0100 @ HOUSEHOLD:509 - occ:4/inf - I:False living with 3 other residents
	H:human:2947 age:78, SEIR:0100 @ HOUSEHOLD:323 - occ:3/inf - I:False living with 2 other residents
	H:human:1158 age:33, SEIR:0100 @ HOUSEHOLD:96 - occ:2/inf - I:False living with 1 other residents
	H:human:2182 age:60, SEIR:0100 @ HOUSEHOLD:1209 - occ:2/inf - I:False living with 1 other residents
	H:human:143 age:9, SEIR:0100 @ HOUSEHOLD:215 - occ:5/inf - I:False living with 4 other residents
	H:human:1793 age:53, SEIR:0100 @ HOUSEHOLD:1024 - occ:2/inf - I:False living with 1 other residents

PREFERENTIAL_ATTACHMENT_FACTOR: 0.5

*** *** ****** *** ****** *** ****** *** ****** *** ****** *** ****** *** ****** *** ***


#################### SIMULATION PROGRESS ##################
Legend -
* [ +Test ]: Total positive test results observed this day (Note: test results are available after some delay from the test time) / total tests administered on this day
* [ P3 ]: Projected number of cases (E+I+R) if the cases were to grow with a doubling rate of 3 days.
* [ TestQueue ]: Total number of people present in the test queue at the time of this print out.
* [ H/C/D ]: Total number of people in hospital (H)/ ICU (C) at this point in simulation-time. Total died upto this day (D).
* [ MC ]: Mean number of known connections of a person in the population (average degree of the social network). The attributes for known connections are drawn from surveyed data on mean contacts.
* [ Q ]: Number of people (alive) quarantined as of midnight on that day.
* [ 2x ]: Number of days to double the initial infections to the current level.
        
(0s)     Day  0: 2020-02-28 | S:2994 E:6    I:0    E+I+R:6    +Test:0/0 TestQueue:1 | P3: 6.00 | cold:0 allergies:0 flu:0 | H:0 C:0 D:0 | MC:  0.000 | Q: 0
(5s)     Day  1: 2020-02-29 | S:2994 E:6    I:0    E+I+R:6    +Test:0/0 TestQueue:28 | P3: 7.56 | cold:0 allergies:0 flu:0 | H:0 C:0 D:0 | MC:  8.885 | Q: 12
(11s)    Day  2: 2020-03-01 | S:2994 E:6    I:0    E+I+R:6    +Test:0/3 TestQueue:43 | P3: 9.52 | cold:4 allergies:2 flu:7 | H:0 C:0 D:0 | MC:  11.362 | Q: 19
(16s)    Day  3: 2020-03-02 | S:2994 E:6    I:0    E+I+R:6    +Test:0/4 TestQueue:31 | P3:12.00 | cold:12 allergies:2 flu:16 | H:0 C:0 D:0 | MC:  12.659 | Q: 17
(23s)    Day  4: 2020-03-03 | S:2994 E:4    I:2    E+I+R:6    +Test:0/5 TestQueue:32 | P3:15.12 | cold:15 allergies:2 flu:25 | H:0 C:0 D:0 | MC:  17.609 | Q: 18
(30s)    Day  5: 2020-03-04 | S:2994 E:1    I:5    E+I+R:6    +Test:0/3 TestQueue:66 | P3:19.05 | cold:19 allergies:7 flu:32 | H:0 C:0 D:0 | MC:  20.954 | Q: 12
(38s)    Day  6: 2020-03-05 | S:2992 E:2    I:6    E+I+R:8    +Test:0/3 TestQueue:65 | P3:24.00 2x: 14.46 | cold:21 allergies:3 flu:33 | H:0 C:0 D:0 | MC:  23.632 | Q: 8
(45s)    Day  7: 2020-03-06 | S:2991 E:3    I:6    E+I+R:9    +Test:0/3 TestQueue:61 | P3:30.24 2x: 11.97 | cold:19 allergies:2 flu:37 | H:0 C:0 D:0 | MC:  25.645 | Q: 10
(58s)    Day  8: 2020-03-07 | S:2989 E:5    I:6    E+I+R:11   +Test:0/3 TestQueue:79 | P3:38.10 2x: 9.15 | cold:17 allergies:1 flu:40 | H:0 C:0 D:0 | MC:  31.268 | Q: 7
(61s)    Day  9: 2020-03-08 | S:2983 E:10   I:7    E+I+R:17   +Test:0/3 TestQueue:75 | P3:48.00 2x: 5.99 | cold:19 allergies:2 flu:40 | H:0 C:0 D:0 | MC:  31.318 | Q: 18
(64s)    Day 10: 2020-03-09 | S:2983 E:9    I:8    E+I+R:17   +Test:0/3 TestQueue:80 | P3:60.48 2x: 6.66 | cold:24 allergies:2 flu:47 | H:0 C:0 D:0 | MC:  31.347 | Q: 8
(76s)    Day 11: 2020-03-10 | S:2983 E:6    I:11   E+I+R:17   +Test:1/3 TestQueue:86 | P3:76.20 2x: 7.32 | cold:28 allergies:3 flu:44 | H:0 C:0 D:0 | MC:  35.846 | Q: 9
(83s)    Day 12: 2020-03-11 | S:2976 E:11   I:13   E+I+R:24   +Test:0/3 TestQueue:94 | P3:96.00 2x: 6.00 | cold:23 allergies:4 flu:46 | H:1 C:0 D:0 | MC:  37.038 | Q: 16
(91s)    Day 13: 2020-03-12 | S:2971 E:12   I:17   E+I+R:29   +Test:0/3 TestQueue:90 | P3:120.95 2x: 5.72 | cold:22 allergies:6 flu:51 | H:1 C:0 D:0 | MC:  38.045 | Q: 8
(99s)    Day 14: 2020-03-13 | S:2968 E:12   I:20   E+I+R:32   +Test:0/3 TestQueue:92 | P3:152.39 2x: 5.80 | cold:24 allergies:2 flu:54 | H:1 C:0 D:0 | MC:  38.918 | Q: 16
(107s)   Day 15: 2020-03-14 | S:2963 E:14   I:23   E+I+R:37   +Test:0/3 TestQueue:88 | P3:192.00 2x: 5.72 | cold:22 allergies:3 flu:58 | H:1 C:0 D:0 | MC:  39.649 | Q: 16
(111s)   Day 16: 2020-03-15 | S:2961 E:13   I:26   E+I+R:39   +Test:1/3 TestQueue:103 | P3:241.90 2x: 5.92 | cold:26 allergies:4 flu:61 | H:1 C:0 D:0 | MC:  40.603 | Q: 16
(114s)   Day 17: 2020-03-16 | S:2959 E:12   I:29   E+I+R:41   +Test:0/3 TestQueue:112 | P3:304.78 2x: 6.13 | cold:26 allergies:2 flu:56 | H:1 C:0 D:0 | MC:  40.613 | Q: 17
(122s)   Day 18: 2020-03-17 | S:2957 E:10   I:33   E+I+R:43   +Test:1/3 TestQueue:107 | P3:384.00 2x: 6.34 | cold:27 allergies:1 flu:55 | H:1 C:0 D:0 | MC:  41.279 | Q: 15
(129s)   Day 19: 2020-03-18 | S:2950 E:15   I:34   E+I+R:50   +Test:2/3 TestQueue:113 | P3:483.81 2x: 6.21 | cold:29 allergies:4 flu:46 | H:2 C:0 D:0 | MC:  41.890 | Q: 19
(137s)   Day 20: 2020-03-19 | S:2945 E:17   I:35   E+I+R:55   +Test:1/3 TestQueue:94 | P3:609.56 2x: 6.26 | cold:36 allergies:2 flu:50 | H:3 C:0 D:0 | MC:  42.449 | Q: 25
(146s)   Day 21: 2020-03-20 | S:2935 E:23   I:39   E+I+R:65   +Test:0/3 TestQueue:108 | P3:768.00 2x: 6.11 | cold:41 allergies:3 flu:47 | H:3 C:0 D:0 | MC:  42.932 | Q: 23
(153s)   Day 22: 2020-03-21 | S:2930 E:24   I:42   E+I+R:70   +Test:0/3 TestQueue:106 | P3:967.62 2x: 6.21 | cold:47 allergies:5 flu:49 | H:3 C:0 D:0 | MC:  43.393 | Q: 21
(156s)   Day 23: 2020-03-22 | S:2920 E:26   I:48   E+I+R:80   +Test:2/3 TestQueue:120 | P3:1219.12 2x: 6.15 | cold:48 allergies:3 flu:44 | H:3 C:0 D:0 | MC:  43.408 | Q: 26
(159s)   Day 24: 2020-03-23 | S:2919 E:22   I:52   E+I+R:81   +Test:1/3 TestQueue:130 | P3:1536.00 2x: 6.39 | cold:38 allergies:8 flu:56 | H:4 C:0 D:0 | MC:  43.417 | Q: 22
